NR_Cell_Identity,NR_Cell_Identity_decimal,Cell_Site_Common_Name,TAC,AWS Region
066C8C01D,1724432413,RIRIC00170A,42100,East - 1
066C8C032,1724432434,RIRIC00181A,42100,East - 1
066C8C047,1724432455,RIRIC00200A,42100,East - 1
066C8C0C5,1724432581,RIRIC00481A,42100,East - 1
066C8D01D,1724436509,RIRIC00026A,42100,East - 1
066C8D032,1724436530,RIRIC00180A,42100,East - 1
066C8D047,1724436551,RIRIC00198A,42100,East - 1
066C8D05C,1724436572,RIRIC00229A,42100,East - 1
066C8D086,1724436614,RIRIC00235A,42100,East - 1
066C8D09B,1724436635,RIRIC00356A,42100,East - 1
066C8D0EF,1724436719,RIRIC00484A,42100,East - 1
066C8D104,1724436740,RIRIC00499A,42100,East - 1
066C8D119,1724436761,RIRIC00511A,42100,East - 1
066C8E008,1724440584,RIRIC00124A,42100,East - 1
066C8E01D,1724440605,RIRIC00264A,42100,East - 1
066C8E032,1724440626,RIRIC00302A,42100,East - 1
066C8E09B,1724440731,RIRIC00452A,42100,East - 1
066C8E0C5,1724440773,RIRIC00485A,42100,East - 1
066C8E0DA,1724440794,RIRIC00493A,42100,East - 1
066C8E0EF,1724440815,RIRIC00496A,42100,East - 1
066C8E104,1724440836,RIRIC00512A,42100,East - 1
066C8F008,1724444680,RIRIC00102A,42100,East - 1
066C8F032,1724444722,RIRIC00319A,42100,East - 1
066C8F047,1724444743,RIRIC00390A,42100,East - 1
066C8F05C,1724444764,RIRIC00423A,42100,East - 1
066C8F086,1724444806,RIRIC00458A,42100,East - 1
066C8F09B,1724444827,RIRIC00472A,42100,East - 1
066C8F0C5,1724444869,RIRIC00487A,42100,East - 1
066C8F0DA,1724444890,RIRIC00516A,42100,East - 1
066C8F0EF,1724444911,RIRIC00573A,42100,East - 1
066C90008,1724448776,RIRIC00190A,42100,East - 1
066C9001D,1724448797,RIRIC00201A,42100,East - 1
066C90047,1724448839,RIRIC00258A,42100,East - 1
066C90086,1724448902,RIRIC00381A,42100,East - 1
066C9009B,1724448923,RIRIC00522A,42100,East - 1
066C900EF,1724449007,RIRIC00737A,42100,East - 1
066C91008,1724452872,RIRIC00032A,42100,East - 1
066C9101D,1724452893,RIRIC00041B,42100,East - 1
066C91032,1724452914,RIRIC00150A,42100,East - 1
066C91047,1724452935,RIRIC00189A,42100,East - 1
066C9105C,1724452956,RIRIC00204A,42100,East - 1
066C91086,1724452998,RIRIC00251A,42100,East - 1
066C9109B,1724453019,RIRIC00318A,42100,East - 1
066C910DA,1724453082,RIRIC00360A,42100,East - 1
066C910EF,1724453103,RIRIC00419A,42100,East - 1
066C91104,1724453124,RIRIC00565A,42100,East - 1
066C91119,1724453145,RIRIC00578A,42100,East - 1
066C94008,1724465160,RIRIC00203A,42100,East - 1
066C9401D,1724465181,RIRIC00218A,42100,East - 1
066C9405C,1724465244,RIRIC00477A,42100,East - 1
066C94086,1724465286,RIRIC00490A,42100,East - 1
066C940C5,1724465349,RIRIC00551A,42100,East - 1
07CC18008,2093056008,ATABY00011A,51100,East - 1
07CC1801D,2093056029,ATABY00012A,51100,East - 1
07CC18032,2093056050,ATABY00013A,51100,East - 1
