NR_Cell_Identity,NR_Cell_Identity_decimal,Cell_Site_Common_Name,TAC,AWS Region
0CFC39006,3485700102,SDLAS00061B,85101,West - 2
0CFC3901B,3485700123,SDLAS00071A,85101,West - 2
0CFC39030,3485700144,SDLAS00072A,85101,West - 2
0CFC39045,3485700165,SDLAS00073A,85101,West - 2
0CFC3905A,3485700186,SDLAS00084B,85101,West - 2
0CFC3906F,3485700207,SDLAS00091B,85101,West - 2
0CFC39070,3485700208,SDLAS00091B,85101,West - 2
0CFC39084,3485700228,SDLAS00094B,85101,West - 2
0CFC39099,3485700249,SDLAS00107C,85101,West - 2
0CFC390C3,3485700291,SDLAS00229A,85101,West - 2
0CFC390D8,3485700312,SDLAS00062B,85101,West - 2
0CFC390ED,3485700333,SDLAS00064A,85101,West - 2
0CFC3A006,3485704198,SDLAS00017C,85101,West - 2
0CFC3A01B,3485704219,SDLAS00039B,85101,West - 2
0CFC3A030,3485704240,SDLAS00063B,85101,West - 2
0CFC3A045,3485704261,SDLAS00066A,85101,West - 2
0CFC3A05A,3485704282,SDLAS00068B,85101,West - 2
0CFC3A06F,3485704303,SDLAS00078B,85101,West - 2
0CFC3A070,3485704304,SDLAS00078B,85101,West - 2
0CFC3A084,3485704324,SDLAS00081B,85101,West - 2
0CFC3A099,3485704345,SDLAS00124B,85101,West - 2
0CFC3A0AE,3485704366,SDLAS00126B,85101,West - 2
0CFC3A0B0,3485704368,SDLAS00126B,85101,West - 2
0CFC3A0C3,3485704387,SDLAS00226A,85101,West - 2
0CFC3B006,3485708294,SDLAS00002C,85101,West - 2
0CFC3B01B,3485708315,SDLAS00015B,85101,West - 2
0CFC3B030,3485708336,SDLAS00059B,85101,West - 2
0CFC3B045,3485708357,SDLAS00065A,85101,West - 2
0CFC3B05A,3485708378,SDLAS00070B,85101,West - 2
0CFC3B06F,3485708399,SDLAS00103B,85101,West - 2
0CFC3B070,3485708400,SDLAS00103B,85101,West - 2
0CFC3B084,3485708420,SDLAS00109B,85101,West - 2
0CFC3B099,3485708441,SDLAS00110B,85101,West - 2
0CFC3B0AE,3485708462,SDLAS00117A,85101,West - 2
0CFC3B0B0,3485708464,SDLAS00117A,85101,West - 2
0CFC3B0C3,3485708483,SDLAS00232A,85101,West - 2
0CFC3C006,3485712390,SDLAS00046A,85101,West - 2
0CFC3C01B,3485712411,SDLAS00049A,85101,West - 2
0CFC3C030,3485712432,SDLAS00053A,85101,West - 2
0CFC3C045,3485712453,SDLAS00055A,85101,West - 2
0CFC3C05A,3485712474,SDLAS00057A,85101,West - 2
0CFC3C099,3485712537,SDLAS00069B,85101,West - 2
0CFC3C0AE,3485712558,SDLAS00188A,85101,West - 2
0CFC3C0B0,3485712560,SDLAS00188A,85101,West - 2
0CFC3C0C3,3485712579,SDLAS00189A,85101,West - 2
0CFC3D006,3485716486,SDLAS00028B,85101,West - 2
